@relation Crop_recommendation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute n numeric
@attribute p numeric
@attribute k numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute ph numeric
@attribute rainfall numeric
@attribute label {apple,banana,blackgram,chickpea,coconut,coffee,cotton,grapes,jute,kidneybeans,lentil,maize,mango,mothbeans,mungbean,muskmelon,orange,papaya,pigeonpeas,pomegranate,rice,watermelon}

@data
0.642857,0.264286,0.19,0.345886,0.790267,0.466264,0.656458,rice
0.607143,0.378571,0.18,0.371445,0.770633,0.54948,0.741675,rice
0.428571,0.357143,0.195,0.406854,0.793977,0.674219,0.87571,rice
0.528571,0.214286,0.175,0.506901,0.768751,0.540508,0.799905,rice
0.557143,0.264286,0.185,0.324378,0.785626,0.641291,0.871231,rice
0.492857,0.228571,0.185,0.408392,0.806218,0.554979,0.829332,rice
0.492857,0.357143,0.165,0.398371,0.797694,0.341514,0.902154,rice
0.671429,0.342857,0.175,0.328612,0.800665,0.344286,0.796709,rice
0.635714,0.35,0.165,0.450223,0.808144,0.494623,0.755293,rice
0.485714,0.378571,0.165,0.413153,0.802288,0.440335,0.722108,rice
0.65,0.342857,0.175,0.507938,0.78344,0.292584,0.878048,rice
0.642857,0.292857,0.185,0.434817,0.783826,0.621753,0.825841,rice
0.557143,0.378571,0.195,0.515788,0.777249,0.249432,0.949259,rice
0.664286,0.364286,0.155,0.43585,0.790898,0.541123,0.593019,rice
0.671429,0.321429,0.16,0.483221,0.774648,0.535472,0.680354,rice
0.428571,0.307143,0.17,0.443515,0.770407,0.550134,0.757593,rice
0.607143,0.235714,0.18,0.366184,0.799431,0.426774,0.921304,rice
0.65,0.214286,0.17,0.429507,0.771782,0.539024,0.668406,rice
0.55,0.235714,0.155,0.374165,0.769147,0.380879,0.734128,rice
0.628571,0.214286,0.175,0.423353,0.808755,0.365328,0.973912,rice
0.635714,0.285714,0.155,0.358664,0.772442,0.456854,0.59381,rice
0.542857,0.25,0.19,0.468633,0.803267,0.243443,0.758663,rice
0.478571,0.385714,0.18,0.37653,0.778264,0.390008,0.693895,rice
0.592857,0.257143,0.19,0.350844,0.798149,0.427548,0.764854,rice
0.7,0.3,0.16,0.420609,0.78245,0.601948,0.732343,rice
0.471429,0.342857,0.18,0.466285,0.773015,0.664687,0.850704,rice
0.692857,0.385714,0.19,0.503119,0.814079,0.432597,0.902275,rice
0.692857,0.321429,0.18,0.450606,0.773262,0.554591,0.862415,rice
0.428571,0.314286,0.195,0.342902,0.819372,0.426119,0.789907,rice
0.6,0.328571,0.15,0.386685,0.774419,0.394777,0.638651,rice
0.521429,0.371429,0.18,0.36215,0.824575,0.360783,0.905304,rice
0.657143,0.214286,0.175,0.383177,0.770768,0.443622,0.646229,rice
0.607143,0.228571,0.17,0.450567,0.798831,0.444671,0.734562,rice
0.7,0.342857,0.165,0.328306,0.786023,0.234786,0.898981,rice
0.628571,0.35,0.195,0.485218,0.812197,0.411278,0.764943,rice
0.678571,0.357143,0.185,0.515632,0.791962,0.38037,0.622011,rice
0.707143,0.371429,0.15,0.514547,0.780638,0.38188,0.905657,rice
0.678571,0.242857,0.155,0.431498,0.803679,0.319835,0.95218,rice
0.428571,0.271429,0.195,0.349895,0.801343,0.608287,0.999431,rice
0.45,0.278571,0.18,0.440384,0.810401,0.323252,0.850814,rice
0.442857,0.264286,0.155,0.400452,0.791019,0.454915,0.820938,rice
0.457143,0.285714,0.19,0.482187,0.808064,0.315711,0.681479,rice
0.592857,0.392857,0.155,0.481247,0.768597,0.528624,0.648911,rice
0.585714,0.25,0.175,0.430562,0.823057,0.430261,1,rice
0.607143,0.335714,0.2,0.501807,0.794516,0.578435,0.881356,rice
0.65,0.214286,0.165,0.461168,0.773038,0.408926,0.587278,rice
0.542857,0.314286,0.185,0.462932,0.819161,0.264624,0.634976,rice
0.528571,0.242857,0.165,0.413645,0.820472,0.665175,0.764631,rice
0.564286,0.271429,0.17,0.368456,0.775182,0.553319,0.684763,rice
0.628571,0.357143,0.2,0.453654,0.771729,0.657137,0.838908,rice
0.428571,0.221429,0.19,0.4191,0.802636,0.277039,0.717422,rice
0.542857,0.392857,0.17,0.321945,0.770961,0.507203,0.67674,rice
0.664286,0.364286,0.185,0.431324,0.792868,0.60308,0.628289,rice
0.464286,0.392857,0.19,0.377228,0.789059,0.334884,0.744219,rice
0.678571,0.335714,0.155,0.499386,0.811655,0.31703,0.956703,rice
0.535714,0.235714,0.17,0.419546,0.822822,0.421495,0.947453,rice
0.528571,0.35,0.165,0.482925,0.807385,0.56226,0.708347,rice
0.65,0.221429,0.2,0.448145,0.795535,0.380368,0.890124,rice
0.507143,0.292857,0.175,0.328682,0.791676,0.580367,0.617004,rice
0.707143,0.357143,0.15,0.370107,0.769692,0.466063,0.926001,rice
0.514286,0.25,0.165,0.332535,0.792662,0.635696,0.808122,rice
0.592857,0.378571,0.2,0.485788,0.807946,0.368658,0.80996,rice
0.664286,0.378571,0.165,0.338296,0.810923,0.533043,0.931687,rice
